"","Altura","Estado"
"1","1.221","A"
"2","2.102","A"
"3","2.146","A"
"4","1.284","A"
"5","1.941","A"
"6","2.059","A"
"7","2.195","A"
"8","1.416","A"
"9","2.15","A"
"10","1.887","A"
"11","1.769","A"
"12","1.393","A"
"13","1.758","A"
"14","1.9","A"
"15","2.003","A"
"16","1.996","A"
"17","2.159","A"
"18","2","A"
"19","1.762","A"
"20","1.806","A"
"21","1.646","A"
"22","1.742","A"
"23","2.118","A"
"24","1.882","A"
"25","1.626","A"
"26","2.255","A"
"27","1.688","A"
"28","1.37","A"
"29","1.855","A"
"30","1.704","A"
"31","1.661","A"
"32","1.582","A"
"33","1.482","A"
"34","2.126","A"
"35","1.926","A"
"36","1.671","A"
"37","1.453","A"
"38","1.792","A"
"39","1.947","A"
"40","1.493","A"
"41","1.708","A"
"42","1.867","A"
"43","1.829","A"
"44","2.112","A"
"45","1.611","A"
"46","1.839","A"
"47","1.924","A"
"48","2.234","A"
"49","1.775","A"
"50","1.176","A"
"51","1.998","A"
"52","1.598","A"
"53","2.089","A"
"54","1.797","A"
"55","1.966","A"
"56","1.649","A"
"57","1.887","A"
"58","1.712","A"
"59","1.5","A"
"60","1.249","A"
"61","1.754","A"
"62","1.338","A"
"63","1.758","A"
"64","2.765","A"
"65","2.09","A"
"66","2.056","A"
"67","2.012","A"
"68","2.022","A"
"69","1.63","A"
"70","1.472","A"
"71","2.03","A"
"72","1.967","A"
"73","1.989","A"
"74","1.343","A"
"75","1.492","A"
"76","1.871","A"
"77","1.806","A"
"78","1.729","A"
"79","1.28","A"
"80","1.869","A"
"81","1.514","A"
"82","1.566","A"
"83","1.611","A"
"84","1.269","A"
"85","1.963","A"
"86","1.523","A"
"87","1.373","A"
"88","1.405","A"
"89","1.435","A"
"90","2.111","A"
"91","1.835","A"
"92","2.178","A"
"93","1.471","A"
"94","1.762","A"
"95","1.968","A"
"96","1.817","A"
"97","2.14","A"
"98","1.812","A"
"99","1.548","A"
"100","1.905","A"
"101","1.115","A"
"102","1.562","A"
"103","1.865","A"
"104","1.526","A"
"105","2.071","A"
"106","1.95","A"
"107","1.735","A"
"108","2.098","A"
"109","1.836","A"
"110","1.592","A"
"111","1.732","A"
"112","1.705","A"
"113","2.043","A"
"114","1.954","A"
"115","1.887","A"
"116","2.388","A"
"117","1.355","A"
"118","1.86","A"
"119","1.728","A"
"120","1.373","A"
"121","1.889","A"
"122","2.185","A"
"123","1.621","A"
"124","1.313","A"
"125","1.821","A"
"126","1.967","A"
"127","1.41","A"
"128","1.457","A"
"129","1.627","A"
"130","1.523","A"
"131","1.908","A"
"132","1.783","A"
"133","2.031","A"
"134","1.93","A"
"135","1.899","A"
"136","2.573","A"
"137","2.264","A"
"138","1.496","A"
"139","1.93","A"
"140","1.954","A"
"141","1.956","A"
"142","1.378","A"
"143","1.576","A"
"144","1.993","A"
"145","2.038","A"
"146","1.898","A"
"147","2.099","A"
"148","1.579","A"
"149","1.648","A"
"150","2.481","A"
"151","1.609","A"
"152","1.795","A"
"153","2.263","A"
"154","1.858","A"
"155","1.259","A"
"156","1.761","A"
"157","1.87","A"
"158","1.959","A"
"159","1.415","A"
"160","1.587","A"
"161","1.643","A"
"162","2.118","A"
"163","2.018","A"
"164","1.927","A"
"165","1.679","A"
"166","1.76","A"
"167","2.128","A"
"168","1.917","A"
"169","0.983","A"
"170","1.697","A"
"171","1.808","A"
"172","2.302","A"
"173","2.201","A"
"174","2.379","A"
"175","1.965","A"
"176","1.604","A"
"177","2.155","A"
"178","1.823","A"
"179","2.114","A"
"180","1.274","A"
"181","1.912","A"
"182","1.741","A"
"183","1.583","A"
"184","1.556","A"
"185","1.164","A"
"186","1.9","A"
"187","1.894","A"
"188","1.616","A"
"189","1.863","A"
"190","1.875","A"
"191","1.824","A"
"192","1.281","A"
"193","1.294","A"
"194","1.986","A"
"195","1.588","A"
"196","1.983","A"
"197","1.987","A"
"198","2.01","A"
"199","1.341","A"
"200","1.714","A"
"201","1.455","A"
